CIUDAD;YEAR;MES;CANTIDAD
Almeria;2018;ENERO;1986
Almeria;2018;FEBRERO;45
Almeria;2018;MARZO;69
Almeria;2018;ABRIL;90
Almeria;2018;MAYO;119
Cadiz;2018;ENERO;2363
Cadiz;2018;FEBRERO;86
Cadiz;2018;MARZO;93
Cadiz;2018;ABRIL;124
Cadiz;2018;MAYO;108
Cordoba;2018;ENERO;1000
Cordoba;2018;FEBRERO;41
Cordoba;2018;MARZO;44
Cordoba;2018;ABRIL;45
Cordoba;2018;MAYO;65
Granada;2018;ENERO;1233
Granada;2018;FEBRERO;48
Granada;2018;MARZO;60
Granada;2018;ABRIL;70
Granada;2018;MAYO;50
Huelva;2018;ENERO;1261
Huelva;2018;FEBRERO;47
Huelva;2018;MARZO;39
Huelva;2018;ABRIL;38
Huelva;2018;MAYO;71
Jaen;2018;ENERO;695
Jaen;2018;FEBRERO;29
Jaen;2018;MARZO;66
Jaen;2018;ABRIL;24
Jaen;2018;MAYO;39
Malaga;2018;ENERO;3209
Malaga;2018;FEBRERO;107
Malaga;2018;MARZO;139
Malaga;2018;ABRIL;167
Malaga;2018;MAYO;186
Sevilla;2018;ENERO;1312
Sevilla;2018;FEBRERO;139
Sevilla;2018;MARZO;166
Sevilla;2018;ABRIL;179
Sevilla;2018;MAYO;175
Huesca;2018;ENERO;171
Huesca;2018;FEBRERO;11
Huesca;2018;MARZO;11
Huesca;2018;ABRIL;17
Huesca;2018;MAYO;33
Teruel;2018;ENERO;145
Teruel;2018;FEBRERO;5
Teruel;2018;MARZO;10
Teruel;2018;ABRIL;8
Teruel;2018;MAYO;9
Zaragoza;2018;ENERO;560
Zaragoza;2018;FEBRERO;15
Zaragoza;2018;MARZO;78
Zaragoza;2018;ABRIL;68
Zaragoza;2018;MAYO;141
Las Palmas;2018;ENERO;2873
Las Palmas;2018;FEBRERO;92
Las Palmas;2018;MARZO;139
Las Palmas;2018;ABRIL;82
Las Palmas;2018;MAYO;249
Santa Cruz de Tenerife;2018;ENERO;1929
Santa Cruz de Tenerife;2018;FEBRERO;33
Santa Cruz de Tenerife;2018;MARZO;129
Santa Cruz de Tenerife;2018;ABRIL;89
Santa Cruz de Tenerife;2018;MAYO;250
Avila;2018;ENERO;140
Avila;2018;FEBRERO;8
Avila;2018;MARZO;15
Avila;2018;ABRIL;0
Avila;2018;MAYO;2
Burgos;2018;ENERO;510
Burgos;2018;FEBRERO;10
Burgos;2018;MARZO;44
Burgos;2018;ABRIL;20
Burgos;2018;MAYO;22
Leon;2018;ENERO;519
Leon;2018;FEBRERO;28
Leon;2018;MARZO;48
Leon;2018;ABRIL;14
Leon;2018;MAYO;32
Palencia;2018;ENERO;129
Palencia;2018;FEBRERO;3
Palencia;2018;MARZO;5
Palencia;2018;ABRIL;11
Palencia;2018;MAYO;5
Salamanca;2018;ENERO;234
