PROVINCIA;TOTAL 2018;TOTAL 2019;TOTAL 2020
Almería;379;470;414
Cádiz;571;709;575
Córdoba;290;305;277
Granada;348;387;346
Huelva;293;314;303
Jaén;213;231;271
Málaga;849;904;800
Sevilla;894;823;766
Huesca;74;75;89
Teruel;54;39;46
Zaragoza;346;451;432
Asturias;390;377;424
Islas Baleares;748;1014;773
Las Palmas;731;790;690
Santa Cruz de Tenerife;612;652;721
Cantabria;196;203;163
Ávila;63;59;53
Burgos;148;133;121
León;134;170;149
Palencia;52;46;45
Salamanca;101;72;78
Segovia;13;72;53
Soria;18;28;9
Valladolid;164;169;166
Zamora;75;57;59
Albacete;135;169;124
Ciudad Real;183;209;209
Cuenca;48;88;54
Guadalajara;119;125;120
Toledo;247;282;313
Barcelona;94;82;154
Girona;29;20;36
Lleida;16;9;29
Tarragona;33;29;59
Alicante;1056;1153;938
Castellón;245;301;322
Valencia;1096;1326;1128
Badajoz;226;233;212
Cáceres;126;134;99
A Coruña;345;386;333
Lugo;60;135;89
Ourense;118;94;101
Pontevedra;368;372;345
Madrid;3104;3066;2632
Murcia;736;740;620
Navarra;279;261;270
Álava;14;7;15
Guipúzcoa;12;11;19
Vizcaya;20;34;23
La Rioja;125;153;129
Ceuta;68;48;39
Melilla;57;62;56
