COMUNIDAD;MUNICIPIO;Lon;Lat;CANTIDAD
Andalucia;Almería;-2.467922;36.84016;414
Andalucia;Cádiz;-6.292657;36.52969;575
Andalucia;Córdoba;-4.779152;37.88473;277
Andalucia;Granada;-3.597929;37.17649;346
Andalucia;Huelva;-6.949555;37.2571;303
Andalucia;Jaén;-3.789518;37.76574;271
Andalucia;Málaga;-4.420019;36.71965;800
Andalucia;Sevilla;-5.996295;37.38264;766
Aragon;Huesca;-0.408898;42.1401;89
Aragon;Teruel;-1.10691;40.34411;46
Aragon;Zaragoza;-0.8765379;41.65629;432
Asturias;Oviedo;-5.844759;43.36026;424
Canarias;Palmas de Gran Canaria (Las);-15.43001;28.12482;690
Canarias;Santa Cruz de Tenerife;-16.25486;28.46981;721
Cantabria;Santander;-3.807934;43.46096;163
Castilla La Mancha;Albacete;-1.86007;38.99765;124
Castilla La Mancha;Ciudad Real;-3.927263;38.9861;209
Castilla La Mancha;Cuenca;-2.134005;40.07183;54
Castilla La Mancha;Guadalajara;-3.166493;40.62981;120
Castilla La Mancha;Toledo;-4.024476;39.85678;313
Castilla Leon;Ávila;-4.700323;40.65642;53
Castilla Leon;Burgos;-3.699731;42.34087;121
Castilla Leon;León;-5.571752;42.59988;149
Castilla Leon;Palencia;-4.531175;42.01246;45
Castilla Leon;Salamanca;-5.663047;40.96497;78
Castilla Leon;Segovia;-4.119209;40.94943;53
Castilla Leon;Soria;-2.464921;41.7636;9
Castilla Leon;Valladolid;-4.728388;41.65295;166
Castilla Leon;Zamora;-5.743778;41.50368;59
Catalunya;Barcelona;2.169919;41.38792;154
Catalunya;Girona;2.8237;41.9818;36
Catalunya;Lleida;0.6257825;41.61415;29
Catalunya;Tarragona;1.24533;41.11866;59
Ceuta y Melilla;Ceuta;-5.316195;35.88829;39
Ceuta y Melilla;Melilla;-2.938794;35.29234;56
Extremadura;Badajoz;-6.970284;38.8786;212
Extremadura;Cáceres;-6.37076;39.47618;99
Galicia;A Coruña;-8.395835;43.37087;333
Galicia;Lugo;-7.555851;43.01208;89
Galicia;Ourense;-7.864641;42.34001;101
Galicia;Pontevedra;-8.648053;42.43362;345
Islas Baleares;Palma;2.649966;39.56951;773
La Rioja;Logroño;-2.449995;42.46577;129
Madrid;Madrid;-3.700346;40.41669;2632
Murcia;Murcia;-1.12989;37.98344;620
Navarra;Pamplona/Iruña;-1.646767;42.81721;270
Pais Vasco;Vitoria-Gasteiz;-2.667893;42.84641;15
Pais Vasco;Donostia-San Sebastián;-1.984421;43.32074;19
Pais Vasco;Bilbao;-2.923441;43.25696;23
Valencia;Alicante;-0.481006;38.3452;938
Valencia;Castellón de la Plana/Castelló de la Plana;-0.0376709;39.98598;322
Valencia;Valencia;-0.3768049;39.47024;1128
